pract_cat,focal_resource,scientific,Economic_dependence,Nutritional_dependence,Cultural_connection,Socioeconomic_sensitivity
glean,63,Tapes literatus,0.00331807780320366,0.021428571428571422,0.022539682539682537,0.047286331771457614
glean,64,Siliqua polita,0.007866268105342503,0.0119047619047619,0.010158730158730157,0.029929760168834564
glean,68,Solenidae,0.055782870539775306,0.035714285714285705,0.022539682539682537,0.11403683879374356
glean,69,Garfarium pectinatum,0.017293233082706767,0.021904761904761903,0.011428571428571427,0.050626566416040096
glean,70,Serratina capsoides,0.0,0.04,0.015238095238095238,0.05523809523809524
glean,71,Callista florida,0.014285714285714285,0.009999999999999997,0.0031746031746031746,0.02746031746031746
glean,74,Potamididae,0.0,0.002857142857142854,0.0015873015873015866,0.004444444444444441
glean,78,Volema pyrum,0.050964166640743734,0.0319047619047619,0.014603174603174602,0.09747210314868024
glean,99,unknown,0.0,0.054285714285714264,0.0,0.054285714285714264
shrimp_net,1,Sillago sihama,0.0,0.09362745098039213,0.1261437908496732,0.2197712418300653
shrimp_net,2,Gerres oyena,0.0,0.06813725490196076,0.046078431372549015,0.11421568627450977
shrimp_net,3,Gerres longirostris,0.0,0.07647058823529411,0.10065359477124182,0.17712418300653596
shrimp_net,4,Terapon jarbua,0.0,0.013235294117647057,0.0,0.013235294117647057
shrimp_net,6,Crenidens crenidens,0.0,0.04117647058823529,0.0039215686274509795,0.04509803921568627
shrimp_net,7,Caranginae,0.0,0.007352941176470583,0.0,0.007352941176470583
shrimp_net,10,Rastrellinger kanagurta,0.0,0.005392156862745097,0.0013071895424836598,0.006699346405228757
shrimp_net,11,Amblygaster sirm,0.0,0.0088235294117647,0.0,0.0088235294117647
shrimp_net,50,Portunus pelagicus,0.04741425736578184,0.1299019607843137,0.07712418300653594,0.2544404011566315
shrimp_net,52,Scylla serrata ,0.010893041118888018,0.02352941176470588,0.03366013071895425,0.06808258360254815
shrimp_net,53,Penaeus monodon,0.01725927917948141,0.006372549019607841,0.014052287581699347,0.037684115780788605
shrimp_net,54,Loliginidae,0.0,0.00441176470588235,0.0,0.00441176470588235
shrimp_net,55,Sepiidae,0.0,0.0039215686274509795,0.0029411764705882344,0.006862745098039214
shrimp_net,56,Penaeidae,0.6797069770073869,0.18578431372549017,0.3238562091503268,1.1893474998832037
shrimp_net,60,Pinna muricata,0.0,0.04754901960784313,0.01797385620915033,0.06552287581699345
shrimp_net,61,Margaritidae,0.0,0.009313725490196073,0.016339869281045753,0.025653594771241822
shrimp_net,63,Tapes literatus,0.0025649437353450354,0.024509803921568624,0.01895424836601307,0.046028996022926726
shrimp_net,64,Siliqua polita,0.0,0.010784313725490192,0.011764705882352941,0.022549019607843137
shrimp_net,68,Solenidae,0.0,0.035294117647058816,0.018627450980392157,0.05392156862745097
shrimp_net,69,Garfarium pectinatum,0.0,0.016666666666666663,0.004901960784313725,0.02156862745098039
shrimp_net,70,Serratina capsoides,0.0,0.010294117647058822,0.022222222222222223,0.03251633986928104
shrimp_net,71,Callista florida,0.0005640495796112294,0.0049019607843137246,0.0,0.005466010363924954
shrimp_net,74,Potamididae,0.0,0.0088235294117647,0.005555555555555555,0.014379084967320254
shrimp_net,78,Volema pyrum,0.0,0.0230392156862745,0.0130718954248366,0.0361111111111111
shrimp_net,99,unknown,0.0,0.07009803921568626,0.0,0.07009803921568626
