,_focal_resource_label,sg_dependence,resource_quality_change,resource_quantity_change,management,compliance,ParentGlobalID,management_other,focal_resource,id,date,ccp,seagrass_quality_change,sg_quality_change_note,seagrass_quantity_change,sg_quantity_change_note,causes_seagrass_change,sg_causes_coded,focal_resources,sg_dependence_note,resource_quality_change_note,resource_quantity_change_note,management_note,compliance_note,resource_change_note,resource_change_note.1,note,review_flag
10,salani (3),none,sig_worse,sig_less,gear_closure,75_100,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,,03,04022023CHAA01,5/8/2023 10:00:00 AM,chamane,no_change,"Nao ha mudanca, as eravas ce antiguidade eram mais saudaveis porque o homem nao explorava com muita frequencia oa recursos marinhos pois, agora com a introducao das artes diversas em particular as redes de arrasto. Mas, contudo nas zonas com rochas o Homem nao consegue exercer as suas actividades , o que faz com que as ervas crescam, vivam e se regenerem natualmente.",sig_less,"Ve_se muita reducao das ervas marinhas por causa das redes de arrasto mas, ha melhoria resultante do plantio das mesmas. As partes das rochas no mar, da impacto na concervacao das ervas porque o Homem nao pode exercer as suas actividades devido a essa  rochas.","As redes de arrasto sao o ,maior factor dessa mudanca.",human_disturbance,"01,02,03,50,56,60,78",,,"A reducao na quantidade e resultante ao esforco da actividade pesqueira, o numero da populacao que pratica a pesca subiu e, em contrapartida as artes estao demasiadas para alem da introducao das redes nossivas.",,"Ha parte de pessoas que invadem a gestao destes recursos. A populacao aceita por obrigacao e, se  cumpre e mesmo por rigorosidade dos dirigentes mas, a percentagem de pessoas que recusam e muito reduzida.","A qualidade assim como a quantidade , reduziram_se devido as redes nossivas, estas, que arrastam ate as especies muito pequenas que nao chegaram ao ponto de reproduzir. Ha bercarios mas, sao ivadidos assim, sao afugentadas as especies para o oceano. O governo podia ajudar na aquisicao das redes propicias aos pescadores porque a pesca como base de sobrevivencia, a pessoa busca solucoes para tal introduzindo ate as redes mosquiteiras.",human_disturbance,"

                                                                                                                                                                                                                    JR",0.0
11,dzindrolo (50),high,sig_worse,sig_less,none,,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,,50,04022023CHAA01,5/8/2023 10:00:00 AM,chamane,no_change,"Nao ha mudanca, as eravas ce antiguidade eram mais saudaveis porque o homem nao explorava com muita frequencia oa recursos marinhos pois, agora com a introducao das artes diversas em particular as redes de arrasto. Mas, contudo nas zonas com rochas o Homem nao consegue exercer as suas actividades , o que faz com que as ervas crescam, vivam e se regenerem natualmente.",sig_less,"Ve_se muita reducao das ervas marinhas por causa das redes de arrasto mas, ha melhoria resultante do plantio das mesmas. As partes das rochas no mar, da impacto na concervacao das ervas porque o Homem nao pode exercer as suas actividades devido a essa  rochas.","As redes de arrasto sao o ,maior factor dessa mudanca.",human_disturbance,"01,02,03,50,56,60,78",,,"A reducao na quantidade e resultante ao esforco da actividade pesqueira, o numero da populacao que pratica a pesca subiu e, em contrapartida as artes estao demasiadas para alem da introducao das redes nossivas.",,"Ha parte de pessoas que invadem a gestao destes recursos. A populacao aceita por obrigacao e, se  cumpre e mesmo por rigorosidade dos dirigentes mas, a percentagem de pessoas que recusam e muito reduzida.","A qualidade assim como a quantidade , reduziram_se devido as redes nossivas, estas, que arrastam ate as especies muito pequenas que nao chegaram ao ponto de reproduzir. Ha bercarios mas, sao ivadidos assim, sao afugentadas as especies para o oceano. O governo podia ajudar na aquisicao das redes propicias aos pescadores porque a pesca como base de sobrevivencia, a pessoa busca solucoes para tal introduzindo ate as redes mosquiteiras.",human_disturbance,"

                                                                                                                                                                                                                    JR",0.0
12,mavandzi (56),mod,sig_worse,sig_less,none,,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,,56,04022023CHAA01,5/8/2023 10:00:00 AM,chamane,no_change,"Nao ha mudanca, as eravas ce antiguidade eram mais saudaveis porque o homem nao explorava com muita frequencia oa recursos marinhos pois, agora com a introducao das artes diversas em particular as redes de arrasto. Mas, contudo nas zonas com rochas o Homem nao consegue exercer as suas actividades , o que faz com que as ervas crescam, vivam e se regenerem natualmente.",sig_less,"Ve_se muita reducao das ervas marinhas por causa das redes de arrasto mas, ha melhoria resultante do plantio das mesmas. As partes das rochas no mar, da impacto na concervacao das ervas porque o Homem nao pode exercer as suas actividades devido a essa  rochas.","As redes de arrasto sao o ,maior factor dessa mudanca.",human_disturbance,"01,02,03,50,56,60,78",,,"A reducao na quantidade e resultante ao esforco da actividade pesqueira, o numero da populacao que pratica a pesca subiu e, em contrapartida as artes estao demasiadas para alem da introducao das redes nossivas.",,"Ha parte de pessoas que invadem a gestao destes recursos. A populacao aceita por obrigacao e, se  cumpre e mesmo por rigorosidade dos dirigentes mas, a percentagem de pessoas que recusam e muito reduzida.","A qualidade assim como a quantidade , reduziram_se devido as redes nossivas, estas, que arrastam ate as especies muito pequenas que nao chegaram ao ponto de reproduzir. Ha bercarios mas, sao ivadidos assim, sao afugentadas as especies para o oceano. O governo podia ajudar na aquisicao das redes propicias aos pescadores porque a pesca como base de sobrevivencia, a pessoa busca solucoes para tal introduzindo ate as redes mosquiteiras.",human_disturbance,"

                                                                                                                                                                                                                    JR",0.0
13,matewo (60),none,sig_worse,sig_less,seasonal_harvest,100,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,,60,04022023CHAA01,5/8/2023 10:00:00 AM,chamane,no_change,"Nao ha mudanca, as eravas ce antiguidade eram mais saudaveis porque o homem nao explorava com muita frequencia oa recursos marinhos pois, agora com a introducao das artes diversas em particular as redes de arrasto. Mas, contudo nas zonas com rochas o Homem nao consegue exercer as suas actividades , o que faz com que as ervas crescam, vivam e se regenerem natualmente.",sig_less,"Ve_se muita reducao das ervas marinhas por causa das redes de arrasto mas, ha melhoria resultante do plantio das mesmas. As partes das rochas no mar, da impacto na concervacao das ervas porque o Homem nao pode exercer as suas actividades devido a essa  rochas.","As redes de arrasto sao o ,maior factor dessa mudanca.",human_disturbance,"01,02,03,50,56,60,78",,,"A reducao na quantidade e resultante ao esforco da actividade pesqueira, o numero da populacao que pratica a pesca subiu e, em contrapartida as artes estao demasiadas para alem da introducao das redes nossivas.",,"Ha parte de pessoas que invadem a gestao destes recursos. A populacao aceita por obrigacao e, se  cumpre e mesmo por rigorosidade dos dirigentes mas, a percentagem de pessoas que recusam e muito reduzida.","A qualidade assim como a quantidade , reduziram_se devido as redes nossivas, estas, que arrastam ate as especies muito pequenas que nao chegaram ao ponto de reproduzir. Ha bercarios mas, sao ivadidos assim, sao afugentadas as especies para o oceano. O governo podia ajudar na aquisicao das redes propicias aos pescadores porque a pesca como base de sobrevivencia, a pessoa busca solucoes para tal introduzindo ate as redes mosquiteiras.",human_disturbance,"

                                                                                                                                                                                                                    JR",0.0
14,togoma (78),none,sig_worse,unsure,none,,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,,78,04022023CHAA01,5/8/2023 10:00:00 AM,chamane,no_change,"Nao ha mudanca, as eravas ce antiguidade eram mais saudaveis porque o homem nao explorava com muita frequencia oa recursos marinhos pois, agora com a introducao das artes diversas em particular as redes de arrasto. Mas, contudo nas zonas com rochas o Homem nao consegue exercer as suas actividades , o que faz com que as ervas crescam, vivam e se regenerem natualmente.",sig_less,"Ve_se muita reducao das ervas marinhas por causa das redes de arrasto mas, ha melhoria resultante do plantio das mesmas. As partes das rochas no mar, da impacto na concervacao das ervas porque o Homem nao pode exercer as suas actividades devido a essa  rochas.","As redes de arrasto sao o ,maior factor dessa mudanca.",human_disturbance,"01,02,03,50,56,60,78",,,"A reducao na quantidade e resultante ao esforco da actividade pesqueira, o numero da populacao que pratica a pesca subiu e, em contrapartida as artes estao demasiadas para alem da introducao das redes nossivas.",,"Ha parte de pessoas que invadem a gestao destes recursos. A populacao aceita por obrigacao e, se  cumpre e mesmo por rigorosidade dos dirigentes mas, a percentagem de pessoas que recusam e muito reduzida.","A qualidade assim como a quantidade , reduziram_se devido as redes nossivas, estas, que arrastam ate as especies muito pequenas que nao chegaram ao ponto de reproduzir. Ha bercarios mas, sao ivadidos assim, sao afugentadas as especies para o oceano. O governo podia ajudar na aquisicao das redes propicias aos pescadores porque a pesca como base de sobrevivencia, a pessoa busca solucoes para tal introduzindo ate as redes mosquiteiras.",human_disturbance,"

                                                                                                                                                                                                                    JR",0.0
15,mihili (1),none,sig_worse,sig_less,gear_closure,75_100,4936c582-ca79-48b3-8919-e4ab7dbb035d,,01,18022023ILHA01,5/20/2023 10:00:00 AM,ilha,sig_worse,"O vendaval de 2017, fez com que houvesse a devastacao no sentido de arrastamento das ervas marinhas em algumas partes ou areas desta comunidade e, as ervas da antiguidade ha 20 anos, mediam ate meio metro de altura.",sig_less,Leia 1a.,"Os ciclones e as redes de arrasto, sao po maior factor da reducao da qualidade e quantidade das ervas.","human_disturbance,climate_change","01,03,37,50,56,60,61",,"Devido a pressao da pesca, nota_se mudanca na qualidade e quantidade de certos recursos e, as tecnicas hoje usadas nao estao para ajudar. Hoje por exemplo com a introducao das redes nossivas. Antigamente os peixes mais jovens eram deixados no mar e levados os mais grandes.",,"Existem medidas de gestao para as especies de apanha que e defendido pela colheta temporaria e, as especies 1 e 3 que sao protegidas pela veda de artes excepto gynia, pesca a fio e gamboa. ","Para as especies protegidas pela colheta temporaria, so poucas pessoas vao capturar para ter algo de comer mas , a sua maioria abracam esta e outras medidas de gestao.","Para as especies que notou_se a mudanca, leia o numero 3a, excepto para as especies 60 e 61, em que na sua modalidade em qualidade assim como na quantidade, melhoraram muito relativo aos anos passados.",human_disturbance,"

                                                                                                                                                                                                       JR",0.0
16,salani (3),none,sig_worse,sig_less,gear_closure,75_100,4936c582-ca79-48b3-8919-e4ab7dbb035d,,03,18022023ILHA01,5/20/2023 10:00:00 AM,ilha,sig_worse,"O vendaval de 2017, fez com que houvesse a devastacao no sentido de arrastamento das ervas marinhas em algumas partes ou areas desta comunidade e, as ervas da antiguidade ha 20 anos, mediam ate meio metro de altura.",sig_less,Leia 1a.,"Os ciclones e as redes de arrasto, sao po maior factor da reducao da qualidade e quantidade das ervas.","human_disturbance,climate_change","01,03,37,50,56,60,61",,"Devido a pressao da pesca, nota_se mudanca na qualidade e quantidade de certos recursos e, as tecnicas hoje usadas nao estao para ajudar. Hoje por exemplo com a introducao das redes nossivas. Antigamente os peixes mais jovens eram deixados no mar e levados os mais grandes.",,"Existem medidas de gestao para as especies de apanha que e defendido pela colheta temporaria e, as especies 1 e 3 que sao protegidas pela veda de artes excepto gynia, pesca a fio e gamboa. ","Para as especies protegidas pela colheta temporaria, so poucas pessoas vao capturar para ter algo de comer mas , a sua maioria abracam esta e outras medidas de gestao.","Para as especies que notou_se a mudanca, leia o numero 3a, excepto para as especies 60 e 61, em que na sua modalidade em qualidade assim como na quantidade, melhoraram muito relativo aos anos passados.",human_disturbance,"

                                                                                                                                                                                                       JR",0.0
17,nhakusi (37),none,no_change,no_change,none,,4936c582-ca79-48b3-8919-e4ab7dbb035d,,37,18022023ILHA01,5/20/2023 10:00:00 AM,ilha,sig_worse,"O vendaval de 2017, fez com que houvesse a devastacao no sentido de arrastamento das ervas marinhas em algumas partes ou areas desta comunidade e, as ervas da antiguidade ha 20 anos, mediam ate meio metro de altura.",sig_less,Leia 1a.,"Os ciclones e as redes de arrasto, sao po maior factor da reducao da qualidade e quantidade das ervas.","human_disturbance,climate_change","01,03,37,50,56,60,61",,"Devido a pressao da pesca, nota_se mudanca na qualidade e quantidade de certos recursos e, as tecnicas hoje usadas nao estao para ajudar. Hoje por exemplo com a introducao das redes nossivas. Antigamente os peixes mais jovens eram deixados no mar e levados os mais grandes.",,"Existem medidas de gestao para as especies de apanha que e defendido pela colheta temporaria e, as especies 1 e 3 que sao protegidas pela veda de artes excepto gynia, pesca a fio e gamboa. ","Para as especies protegidas pela colheta temporaria, so poucas pessoas vao capturar para ter algo de comer mas , a sua maioria abracam esta e outras medidas de gestao.","Para as especies que notou_se a mudanca, leia o numero 3a, excepto para as especies 60 e 61, em que na sua modalidade em qualidade assim como na quantidade, melhoraram muito relativo aos anos passados.",human_disturbance,"

                                                                                                                                                                                                       JR",0.0
18,dzindrolo (50),high,no_change,no_change,none,,4936c582-ca79-48b3-8919-e4ab7dbb035d,,50,18022023ILHA01,5/20/2023 10:00:00 AM,ilha,sig_worse,"O vendaval de 2017, fez com que houvesse a devastacao no sentido de arrastamento das ervas marinhas em algumas partes ou areas desta comunidade e, as ervas da antiguidade ha 20 anos, mediam ate meio metro de altura.",sig_less,Leia 1a.,"Os ciclones e as redes de arrasto, sao po maior factor da reducao da qualidade e quantidade das ervas.","human_disturbance,climate_change","01,03,37,50,56,60,61",,"Devido a pressao da pesca, nota_se mudanca na qualidade e quantidade de certos recursos e, as tecnicas hoje usadas nao estao para ajudar. Hoje por exemplo com a introducao das redes nossivas. Antigamente os peixes mais jovens eram deixados no mar e levados os mais grandes.",,"Existem medidas de gestao para as especies de apanha que e defendido pela colheta temporaria e, as especies 1 e 3 que sao protegidas pela veda de artes excepto gynia, pesca a fio e gamboa. ","Para as especies protegidas pela colheta temporaria, so poucas pessoas vao capturar para ter algo de comer mas , a sua maioria abracam esta e outras medidas de gestao.","Para as especies que notou_se a mudanca, leia o numero 3a, excepto para as especies 60 e 61, em que na sua modalidade em qualidade assim como na quantidade, melhoraram muito relativo aos anos passados.",human_disturbance,"

                                                                                                                                                                                                       JR",0.0
19,mavandzi (56),none,sig_worse,sig_less,none,,4936c582-ca79-48b3-8919-e4ab7dbb035d,,56,18022023ILHA01,5/20/2023 10:00:00 AM,ilha,sig_worse,"O vendaval de 2017, fez com que houvesse a devastacao no sentido de arrastamento das ervas marinhas em algumas partes ou areas desta comunidade e, as ervas da antiguidade ha 20 anos, mediam ate meio metro de altura.",sig_less,Leia 1a.,"Os ciclones e as redes de arrasto, sao po maior factor da reducao da qualidade e quantidade das ervas.","human_disturbance,climate_change","01,03,37,50,56,60,61",,"Devido a pressao da pesca, nota_se mudanca na qualidade e quantidade de certos recursos e, as tecnicas hoje usadas nao estao para ajudar. Hoje por exemplo com a introducao das redes nossivas. Antigamente os peixes mais jovens eram deixados no mar e levados os mais grandes.",,"Existem medidas de gestao para as especies de apanha que e defendido pela colheta temporaria e, as especies 1 e 3 que sao protegidas pela veda de artes excepto gynia, pesca a fio e gamboa. ","Para as especies protegidas pela colheta temporaria, so poucas pessoas vao capturar para ter algo de comer mas , a sua maioria abracam esta e outras medidas de gestao.","Para as especies que notou_se a mudanca, leia o numero 3a, excepto para as especies 60 e 61, em que na sua modalidade em qualidade assim como na quantidade, melhoraram muito relativo aos anos passados.",human_disturbance,"

                                                                                                                                                                                                       JR",0.0
20,matewo (60),high,no_change,sig_more,seasonal_harvest,75_100,4936c582-ca79-48b3-8919-e4ab7dbb035d,,60,18022023ILHA01,5/20/2023 10:00:00 AM,ilha,sig_worse,"O vendaval de 2017, fez com que houvesse a devastacao no sentido de arrastamento das ervas marinhas em algumas partes ou areas desta comunidade e, as ervas da antiguidade ha 20 anos, mediam ate meio metro de altura.",sig_less,Leia 1a.,"Os ciclones e as redes de arrasto, sao po maior factor da reducao da qualidade e quantidade das ervas.","human_disturbance,climate_change","01,03,37,50,56,60,61",,"Devido a pressao da pesca, nota_se mudanca na qualidade e quantidade de certos recursos e, as tecnicas hoje usadas nao estao para ajudar. Hoje por exemplo com a introducao das redes nossivas. Antigamente os peixes mais jovens eram deixados no mar e levados os mais grandes.",,"Existem medidas de gestao para as especies de apanha que e defendido pela colheta temporaria e, as especies 1 e 3 que sao protegidas pela veda de artes excepto gynia, pesca a fio e gamboa. ","Para as especies protegidas pela colheta temporaria, so poucas pessoas vao capturar para ter algo de comer mas , a sua maioria abracam esta e outras medidas de gestao.","Para as especies que notou_se a mudanca, leia o numero 3a, excepto para as especies 60 e 61, em que na sua modalidade em qualidade assim como na quantidade, melhoraram muito relativo aos anos passados.",human_disturbance,"

                                                                                                                                                                                                       JR",0.0
21,"mapalo, mavalo (61)",high,no_change,sig_more,seasonal_harvest,75_100,4936c582-ca79-48b3-8919-e4ab7dbb035d,,61,18022023ILHA01,5/20/2023 10:00:00 AM,ilha,sig_worse,"O vendaval de 2017, fez com que houvesse a devastacao no sentido de arrastamento das ervas marinhas em algumas partes ou areas desta comunidade e, as ervas da antiguidade ha 20 anos, mediam ate meio metro de altura.",sig_less,Leia 1a.,"Os ciclones e as redes de arrasto, sao po maior factor da reducao da qualidade e quantidade das ervas.","human_disturbance,climate_change","01,03,37,50,56,60,61",,"Devido a pressao da pesca, nota_se mudanca na qualidade e quantidade de certos recursos e, as tecnicas hoje usadas nao estao para ajudar. Hoje por exemplo com a introducao das redes nossivas. Antigamente os peixes mais jovens eram deixados no mar e levados os mais grandes.",,"Existem medidas de gestao para as especies de apanha que e defendido pela colheta temporaria e, as especies 1 e 3 que sao protegidas pela veda de artes excepto gynia, pesca a fio e gamboa. ","Para as especies protegidas pela colheta temporaria, so poucas pessoas vao capturar para ter algo de comer mas , a sua maioria abracam esta e outras medidas de gestao.","Para as especies que notou_se a mudanca, leia o numero 3a, excepto para as especies 60 e 61, em que na sua modalidade em qualidade assim como na quantidade, melhoraram muito relativo aos anos passados.",human_disturbance,"

                                                                                                                                                                                                       JR",0.0
